paper_id,total_figure_count
2017_G_B104.pdf-435f7107-40d7-45f1-8d90-183339b8efc2,10
2017_G_B315.pdf-11a42682-c012-4452-b69e-37bc3de34fc6,10
2018_G_A440.pdf-065775f5-ff13-48f5-b12d-623da439971f,10
2018_G_A229.pdf-b6d5ce70-0a39-4325-8406-1c887d9ce90c,11
2023_G_A175.pdf-8d4a4c05-3206-497f-bcd2-34719146185f,11
2023_G_B311.pdf-4c40818a-19f0-4e8f-bea2-d2c28c9a7a93,11
2018_G_A466.pdf-f42c5f5a-ee2d-4f66-84b0-d3e32153a4e5,12
2016_G_A433.pdf-ace5f580-0291-4b74-8e8a-3e24514c4563,13
2016_G_A194.pdf-b86a85b1-ff13-48a6-90bc-0afc1ed6de24,15
2016_G_B022.pdf-45c1977b-4052-4367-8a33-85a423730b3d,17
2016_G_B044.pdf-bb7acb2d-63cf-48d6-acf7-16e9e75ec953,17
2017_G_B248.pdf-ceeb3cc2-f05c-4906-833a-5eb02870f643,17
2017_G_A156.pdf-526d4bc0-c508-47e0-9181-6bcff011181f,18
2016_G_B067.pdf-f6c8e02c-ac22-49cb-a2f4-6f0cb4726072,19
2016_G_B294.pdf-efa735c1-180d-4ef2-b2e3-71ef259ee165,19
2023_G_C050.pdf-2049a35a-b3ce-49bb-a0db-827272b74086,19
2023_G_A127.pdf-c7af97bb-63f5-4e7a-ae28-7f7b3d4f016c,22
2016_G_A028.pdf-6e4c52f4-be1a-43fe-9a4f-f2f6fb479a0c,24
2017_G_B154.pdf-6b295a37-7f1d-4087-aa6b-498ebc227dfe,24
2023_G_C228.pdf-b2387ac6-a2c5-4f0e-a228-e82e75c63418,26
2023_G_B226.pdf-138a457c-a3d1-4dec-a2b6-3b5dc1265cc7,27
2023_G_E032.pdf-a2ac9d24-a978-4750-bdfc-d48988ea3d38,32
2023_G_A092.pdf-5db87c85-f001-44bb-9cd1-933c32b9efdf,35
2023_G_E176.pdf-6a7252f2-fcac-48bd-9de1-2adf091599c5,42
2017_G_B447.pdf-bba1d9f9-3235-4893-aeb8-689cd6ed9376,44
2018_G_D029.pdf-10d238b4-ee16-4891-9522-f7e895f2f545,5
2018_G_B334.pdf-9618d410-024a-4368-8c34-abb687df4146,6
2017_G_D035.pdf-dd7e65e6-ee52-4f20-a6d6-e97d20729925,7
2018_G_B203.pdf-cd92e332-dd42-40fe-9530-03ab83e77d3a,7
2018_G_C008.pdf-3e10abb3-a9d0-4ecb-898d-01d2020ed451,7
2017_G_D002.pdf-34552dc9-fe7d-49e0-90b4-279a27481fa2,9
